# sigma, x, sig_x, y, sig_y
1, 7.00e-01, 7.36e-02, 3.00e-01, 3.44e-02
2, 7.00e-01, 1.20e-01, 3.00e-01, 5.61e-02
3, 7.00e-01, 1.66e-01, 3.00e-01, 7.78e-02

