# sigma, x, sig_x, y, sig_y
1, -1.00e+00, 1.51e-01, 3.00e-01, 9.74e-02
2, -1.00e+00, 2.46e-01, 3.00e-01, 1.59e-01
3, -1.00e+00, 3.41e-01, 3.00e-01, 2.21e-01

