# sigma, x, sig_x, y, sig_y
1, -1.16e+00, 3.47e-01, 5.03e-01, 1.29e-01
2, -1.16e+00, 5.66e-01, 5.03e-01, 2.11e-01
3, -1.16e+00, 7.85e-01, 5.03e-01, 2.92e-01

