# sigma, x, sig_x, y, sig_y
1, -1.00e+00, 1.48e-01, 3.00e-01, -3.20e-02
2, -1.00e+00, 2.41e-01, 3.00e-01, -5.22e-02
3, -1.00e+00, 3.34e-01, 3.00e-01, -7.24e-02

