# sigma, x, sig_x, y, sig_y
1, 7.00e-01, 7.29e-02, 3.00e-01, 3.41e-02
2, 7.00e-01, 1.19e-01, 3.00e-01, 5.56e-02
3, 7.00e-01, 1.65e-01, 3.00e-01, 7.72e-02

