# sigma, x, sig_x, y, sig_y
1, 6.06e-01, 1.24e-01, 5.04e-01, 7.86e-02
2, 6.06e-01, 2.02e-01, 5.04e-01, 1.28e-01
3, 6.06e-01, 2.81e-01, 5.04e-01, 1.78e-01

