# sigma, x, sig_x, y, sig_y
1, 5.81e-01, 8.20e-02, 4.84e-01, 2.06e-02
2, 5.81e-01, 1.34e-01, 4.84e-01, 3.36e-02
3, 5.81e-01, 1.86e-01, 4.84e-01, 4.66e-02

